STATION,NAME,DATE,TMAX,TMIN
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",7/16/03,69,54
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",7/17/03,74,47
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",7/18/03,80,49
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",7/19/03,80,52
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",7/20/03,81,60
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",7/21/03,83,55
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",7/22/03,78,59
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",7/23/03,71,57
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",7/24/03,73,50
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",7/25/03,76,49
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",7/26/03,69,58
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",7/27/03,76,55
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",7/28/03,81,54
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",7/29/03,85,54
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",7/30/03,81,56
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",7/31/03,69,58
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",8/1/03,69,55
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",8/2/03,74,52
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",8/3/03,73,54
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",8/4/03,74,56
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",8/5/03,77,50
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",8/6/03,70,54
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",8/7/03,75,51
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",8/8/03,72,51
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",8/9/03,67,53
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",8/10/03,72,50
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",8/11/03,72,56
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",8/12/03,71,52
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",8/13/03,75,47
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",8/14/03,81,49
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",8/15/03,76,51
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",8/16/03,71,58
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",8/17/03,78,59
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",8/18/03,77,58
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",8/19/03,73,54
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",8/20/03,76,50
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",8/21/03,77,49
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",8/22/03,67,56
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",8/23/03,69,46
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",8/24/03,72,41
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",8/25/03,76,51
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",8/26/03,70,58
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",8/27/03,71,52
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",8/28/03,74,48
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",8/29/03,79,50
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",8/30/03,78,48
