,neighborhood,year,month,day,day_of_week,day_segment,number_of_crimes
232,Kensington-Cedar Cottage,2018,8,1,Wednesday,1200am-1159am,2.0259299278259277
233,Kensington-Cedar Cottage,2018,8,1,Wednesday,1200pm-1159pm,2.7555556297302246
234,Kensington-Cedar Cottage,2018,8,2,Thursday,1200am-1159am,2.0259299278259277
235,Kensington-Cedar Cottage,2018,8,2,Thursday,1200pm-1159pm,2.7555556297302246
236,Kensington-Cedar Cottage,2018,8,3,Friday,1200am-1159am,2.0259299278259277
237,Kensington-Cedar Cottage,2018,8,3,Friday,1200pm-1159pm,2.7555556297302246
238,West Point Grey,2018,7,28,Saturday,1200am-1159am,1.3650761842727661
239,West Point Grey,2018,7,28,Saturday,1200pm-1159pm,1.7038540840148926
240,West Point Grey,2018,7,29,Sunday,1200am-1159am,1.3650761842727661
241,West Point Grey,2018,7,29,Sunday,1200pm-1159pm,1.7038540840148926
242,West Point Grey,2018,7,30,Monday,1200am-1159am,1.3650761842727661
243,West Point Grey,2018,7,30,Monday,1200pm-1159pm,1.7038540840148926
244,West Point Grey,2018,7,31,Tuesday,1200am-1159am,1.3650761842727661
245,West Point Grey,2018,7,31,Tuesday,1200pm-1159pm,1.7038540840148926
246,West Point Grey,2018,8,1,Wednesday,1200am-1159am,1.4230403900146484
247,West Point Grey,2018,8,1,Wednesday,1200pm-1159pm,1.7618186473846436
248,West Point Grey,2018,8,2,Thursday,1200am-1159am,1.4230403900146484
249,West Point Grey,2018,8,2,Thursday,1200pm-1159pm,1.7618186473846436
250,West Point Grey,2018,8,3,Friday,1200am-1159am,1.4230403900146484
251,West Point Grey,2018,8,3,Friday,1200pm-1159pm,1.7618186473846436
252,South Cambie,2018,7,28,Saturday,1200am-1159am,1.3151576519012451
253,South Cambie,2018,7,28,Saturday,1200pm-1159pm,1.6420193910598755
254,South Cambie,2018,7,29,Sunday,1200am-1159am,1.3151576519012451
255,South Cambie,2018,7,29,Sunday,1200pm-1159pm,1.6420193910598755
256,South Cambie,2018,7,30,Monday,1200am-1159am,1.3151576519012451
257,South Cambie,2018,7,30,Monday,1200pm-1159pm,1.6420193910598755
258,South Cambie,2018,7,31,Tuesday,1200am-1159am,1.3151576519012451
259,South Cambie,2018,7,31,Tuesday,1200pm-1159pm,1.6420193910598755
260,South Cambie,2018,8,1,Wednesday,1200am-1159am,1.3737714290618896
261,South Cambie,2018,8,1,Wednesday,1200pm-1159pm,1.712904691696167
262,South Cambie,2018,8,2,Thursday,1200am-1159am,1.3737714290618896
263,South Cambie,2018,8,2,Thursday,1200pm-1159pm,1.712904691696167
264,South Cambie,2018,8,3,Friday,1200am-1159am,1.3737714290618896
265,South Cambie,2018,8,3,Friday,1200pm-1159pm,1.712904691696167
266,Stanley Park,2018,7,28,Saturday,1200am-1159am,1.303765058517456
267,Stanley Park,2018,7,28,Saturday,1200pm-1159pm,1.5987586975097656
268,Stanley Park,2018,7,29,Sunday,1200am-1159am,1.303765058517456
269,Stanley Park,2018,7,29,Sunday,1200pm-1159pm,1.5987586975097656
270,Stanley Park,2018,7,30,Monday,1200am-1159am,1.303765058517456
271,Stanley Park,2018,7,30,Monday,1200pm-1159pm,1.5987586975097656
272,Stanley Park,2018,7,31,Tuesday,1200am-1159am,1.303765058517456
273,Stanley Park,2018,7,31,Tuesday,1200pm-1159pm,1.5987586975097656
